Nama daerah,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
Kdy. Madiun,0,0,0,0,0,0,0,1,1,0,1,1,0
Pacitan,0,0,0,0,0,0,0,1,0,1,1,1,0
Ponorogo,1,0,0,0,0,0,0,0,1,1,1,0,0
Trenggalek,0,0,0,1,0,1,1,1,1,0,1,1,0
Tulungagung,1,0,1,0,0,0,0,0,1,0,1,1,0
Blitar,1,0,0,0,1,0,0,0,0,0,1,1,0
Kediri,1,1,1,0,0,1,0,0,0,0,1,1,0
Malang,1,1,1,0,0,1,0,0,0,1,1,1,0
Lumajang,1,0,1,0,0,0,0,1,1,0,1,1,0
Jember,1,1,1,1,0,1,0,0,0,0,0,1,0
Banyuwangi,1,1,1,0,0,1,0,0,0,1,0,1,0
Bondowoso,0,0,0,0,0,0,0,1,1,1,1,1,0
Situbondo,0,0,0,0,0,0,0,1,0,0,1,1,0
Probolinggo,1,0,0,0,0,0,0,0,1,0,1,1,0
Pasuruan,1,1,1,0,0,1,0,0,0,0,1,1,0
Sidoarjo,1,1,1,1,1,1,0,0,1,0,1,1,0
Mojokerto,1,1,0,0,0,0,0,1,1,0,1,1,0
Jombang,1,0,0,0,1,0,0,0,1,0,1,1,0
Nganjuk,1,0,1,0,0,0,0,0,1,1,1,1,0
Madiun,0,0,0,0,0,0,0,0,1,0,1,1,0
Magetan,0,0,1,0,1,0,0,0,1,0,1,1,0
Ngawi,0,0,0,0,0,0,0,0,1,0,1,1,0
Bojonegoro,1,0,1,0,1,0,0,0,1,1,1,1,0
Tuban,1,1,1,0,0,1,0,0,0,0,1,1,0
Lamongan,1,0,0,0,0,0,0,0,0,0,1,1,0
Gresik,1,1,0,0,1,1,0,1,1,0,1,1,0
Bangkalan,0,0,1,0,0,0,0,1,1,0,0,1,0
Sampang,0,0,0,0,0,0,0,1,1,0,1,1,0
Pamekasan,0,0,1,0,0,0,0,0,1,0,1,1,0
Sumenep,1,0,0,0,0,1,0,0,0,0,1,1,0
Kdy. Kediri,0,0,0,0,1,0,0,1,1,0,1,1,0
Kdy. Blitar,0,0,0,0,0,0,0,1,1,0,1,1,0
Kdy. Malang,0,1,1,1,1,1,0,1,1,1,1,1,0
Kdy. Probolinggo,0,0,0,0,0,0,0,1,1,0,1,1,0
Kdy. Pasuruan,0,0,0,0,0,0,0,1,1,0,1,1,0
Kdy. Mojokerto,0,0,0,0,0,0,0,1,1,0,1,1,0
